pid	English	Chinese
693115	Double-sided travel mirror	旅行用双面化妆镜
693114	Double-sided travel mirror	双面旅行化妆镜
649299	Double-sided hand-held mirror	手持式双面化妆镜
693113	Double-sided vanity stand mirror	立式双面化妆镜
649298	Double-sided travel mirror	双面旅行化妆镜
693112	Double-sided travel mirror	旅行用双面化妆镜
